7174fc4e-9018-45dc-ae02-d405996a95ac	Mode & Accessoarer	Skönhet & Hälsa
e7f592b5-0d76-4513-a724-25b6a3dae966	Hem & Inredning	Kök & Husgeråd
bc506e51-beb0-4f7b-b853-22a89b8c6303	Hem & Inredning	Kök & Husgeråd
38fae72a-9f79-40ca-a282-c9945b7c24a7	Hem & Inredning	Barn & Familj
efb9b9b5-51a9-469e-85bf-cfb087ebeb19	Hem & Inredning	Kök & Husgeråd
c41aec49-e2c3-4253-b53e-d96f6a2ca1cd	Hem & Inredning	Elektronik & Tillbehör
306a7d49-a447-45c7-850d-5b23480c049d	Hem & Inredning	Kök & Husgeråd
646720e3-49af-406d-89ae-ea2119b38802	Hem & Inredning	Trädgård & Utemöbler
4fa6ebd7-3848-4110-9ae0-8cda41955cb3	Hem & Inredning	Trädgård & Utemöbler
ce167a07-bceb-411f-be30-811e95c659ae	Hem & Inredning	Trädgård & Utemöbler
cd628af2-408b-4fa4-b9f9-cc3fa453a5a4	Hem & Inredning	Trädgård & Utemöbler
ca9e1fa5-0748-4f56-a5d8-2fcf7e2766b5	Hem & Inredning	Trädgård & Utemöbler
1c2cbaf8-078d-4f38-ab2d-cdd5e515c632	Hem & Inredning	Barn & Familj
fa793821-be83-41bb-8c31-183ab42ba6c0	Hem & Inredning	Kök & Husgeråd
3ef20474-69c1-407b-851f-bb193b165e5f	Hem & Inredning	Trädgård & Utemöbler
1a41b6a9-e43a-433b-a7ec-e853de9da7d2	Hem & Inredning	Trädgård & Utemöbler
af27fffe-04e1-4678-a240-648d80b14ca9	Hem & Inredning	Trädgård & Utemöbler
bc82b8ea-aa40-45d9-84b1-ccf6b792252f	Hem & Inredning	Barn & Familj
0385f12f-da12-471f-8f69-b615ca406478	Hem & Inredning	Kök & Husgeråd
0453c3d3-0063-4d87-8703-ca958c9adf5b	Hem & Inredning	Kök & Husgeråd
a531a427-464f-4820-a672-bb210093f098	Hem & Inredning	Kök & Husgeråd
98b318b2-9cdf-450b-beca-564caeb8647a	Hem & Inredning	Kök & Husgeråd
2a4bdc77-2a0d-4256-83f3-9d828c33fcd0	Hem & Inredning	Kök & Husgeråd
5de3224e-52ce-46fa-89f0-610a56baacda	Hem & Inredning	Kök & Husgeråd
8e76d9b8-1019-4f98-ab11-bc4caf0f2b73	Hem & Inredning	Kök & Husgeråd
4be73755-1e31-4a66-b12d-836cbb67c76b	Hem & Inredning	Kök & Husgeråd
cdb043b4-8e37-4f63-85d0-d705aec925b5	Hem & Inredning	Barn & Familj
dbf38846-96c3-4d1e-93b2-00a6cd2b6a56	Hem & Inredning	Barn & Familj
1f54629b-daf4-4081-b43a-3001bc96ceea	Hem & Inredning	Barn & Familj
76430e8e-cfd8-480c-9128-1be3624982d4	Hem & Inredning	Barn & Familj
d3b26d84-548a-4b8e-a50f-078e738c905c	Hem & Inredning	Barn & Familj
7cb38ae8-8eeb-40cf-890f-163c073a0050	Hem & Inredning	Barn & Familj
160c1e93-480d-4d5f-8616-c673ef949773	Hem & Inredning	Barn & Familj
8832b73a-143c-4669-9c28-3f0a8584aad7	Hem & Inredning	Barn & Familj
6939ad48-a052-4e96-8fe2-a3e87960a218	Hem & Inredning	Trädgård & Utemöbler
46835f80-da96-40ac-bcba-9ba6f4e7be4c	Hem & Inredning	Trädgård & Utemöbler
ade3ffc4-67dc-4a8e-bbcf-1f6cc8cd44cd	Hem & Inredning	Trädgård & Utemöbler
2ea798e2-59a1-49fc-927f-71e76ee4ab6e	Hem & Inredning	Trädgård & Utemöbler
48c878c9-7445-4c3e-9827-d80ca390bc50	Hem & Inredning	Trädgård & Utemöbler
2c3f2a17-9684-4ec9-bb56-cb8cda48955c	Hem & Inredning	Trädgård & Utemöbler
184e9c32-8948-44e2-8e24-9487fd0c5978	Hem & Inredning	Trädgård & Utemöbler
333b56d0-5e16-459d-a9ba-0f7c52473a51	Hem & Inredning	Trädgård & Utemöbler
ee5ea781-3c8c-4683-adb9-78e6a84726ea	Hem & Inredning	Trädgård & Utemöbler
7f7aa2a4-55f8-4ebe-892d-98d99254068f	Hem & Inredning	Trädgård & Utemöbler
ca2f0e47-8db8-42f2-9e11-b96ba45fc128	Hem & Inredning	Trädgård & Utemöbler
74e737ee-971a-4c69-a52d-3e9b86f01814	Hem & Inredning	Trädgård & Utemöbler
e74d5f67-7e47-4e38-a3ed-e3468a885e94	Hem & Inredning	Trädgård & Utemöbler
5a30aaa8-35d2-4619-a2d4-13b0673a1b34	Hem & Inredning	Trädgård & Utemöbler
fb26b6d9-899b-4fe6-ad39-7e1ea68ed79e	Hem & Inredning	Barn & Familj
c24a9b56-8945-4c92-a0c5-70fbc58b5cff	Hem & Inredning	Trädgård & Utemöbler
2b6d2766-f65d-4cba-8c21-b5faa0e96def	Hem & Inredning	Trädgård & Utemöbler
ebb45ac6-7283-4c5d-a273-1bbc587fe09d	Hem & Inredning	Trädgård & Utemöbler
9421c86b-2057-4b13-8acc-b66eb155d74b	Hem & Inredning	Trädgård & Utemöbler
5dd1a836-a061-4f45-af97-8f62b4f8faa5	Hem & Inredning	Trädgård & Utemöbler
67376f7e-97f7-4cf3-9f9a-19d33a6c42e3	Hem & Inredning	Trädgård & Utemöbler
aca9e661-3e7b-4a69-b60b-edecbafb5aeb	Hem & Inredning	Trädgård & Utemöbler
c85c49af-4621-4b73-9ab5-8fde56ce138c	Hem & Inredning	Trädgård & Utemöbler
72051417-e179-4f73-9ad8-d25f160cf29c	Hem & Inredning	Trädgård & Utemöbler
a165b178-b8e7-4826-bae5-a137a7e4994c	Hem & Inredning	Trädgård & Utemöbler
5f6592ad-b7e0-4919-b96a-31d84112f073	Hem & Inredning	Trädgård & Utemöbler
20c0942e-ed05-476f-8097-12541059e859	Hem & Inredning	Trädgård & Utemöbler
8bdba748-1286-4e7d-96fe-9616672fc10c	Hem & Inredning	Trädgård & Utemöbler
0f5e3fea-08a1-458e-87ad-919e111b75c8	Hem & Inredning	Trädgård & Utemöbler
6a419d8b-c924-4045-8b04-d23911a5f6df	Hem & Inredning	Trädgård & Utemöbler
95a9d7cc-a0cf-4ffc-9cff-f739b71f3157	Hem & Inredning	Trädgård & Utemöbler
86d10d60-2946-46d7-939b-480d46a2b06b	Trädgård & Utemöbler	Barn & Familj
13b69cb8-80d2-4c00-8c4f-9d6dd9040cd4	Trädgård & Utemöbler	Elektronik & Tillbehör
588ce016-831a-4cd8-9916-ef0af681f08c	Trädgård & Utemöbler	Barn & Familj
b3e20f91-29c7-44d5-9be7-865fe533f7a0	Husdjur	Trädgård & Utemöbler
0b008ef0-778f-4691-8ecd-90a792816aac	Trädgård & Utemöbler	Barn & Familj
4080448d-6986-4e9b-b213-6de5f33b836d	Trädgård & Utemöbler	Barn & Familj
057441d9-6d17-4b77-98f1-78de1d0503d7	Sport & Fritid	Barn & Familj
81f85c3f-fd41-447d-af2e-9f65e299cfae	Barn & Familj	Sport & Fritid
c9ae0a93-79a4-427a-bd75-064d9edfa4fd	Barn & Familj	Elektronik & Tillbehör
043bd5c8-69b7-420d-b958-a5c29e14e037	Sport & Fritid	Elektronik & Tillbehör
757b7c20-2429-4bcc-9676-be6d47623b12	Sport & Fritid	Elektronik & Tillbehör
f66e1563-ad17-4d1b-be99-fbb7a5011d49	Sport & Fritid	Elektronik & Tillbehör
a361707f-decc-4a24-878b-ff324865b615	Sport & Fritid	Elektronik & Tillbehör
