121ce68f	skotsel+faq	Öronlappsfåtölj i grått	Polyester, trä, skum
16f36d37	skotsel+faq	Öronlappsfåtölj i grå sammet	Sammet (100 % polyester), trä, skum
1877cf83	skotsel+faq	UTKAST cordfåtölj (visible:false)	Cord
188a80b4	skotsel+faq	Barnfåtölj eukalyptus rosa	Eukalyptusträ, skum, sammet, plast
1a73ab8d	skotsel+faq	Barnfåtölj grå rutmönstrad	Träfiberskiva, skum, polyester, plast
31710969	skotsel+faq	Barnfåtölj hjärtformad rygg	Konstläder, skum, massivt trä
37d254ee	skotsel+faq	Barnfåtölj manchester rosa	Träskiva, gummiträ, skum, manchester
4791575c	skotsel+faq	Barnfåtölj fällbart ryggstöd	Skum, metall, massivt trä, konstläder
4e92e841	skotsel+faq	Barnfåtölj linnelook pastellblå	Massivt trä, vävt tyg, skum
648a9257	skotsel+faq	Hängstol för två 240 kg	Stål, polyester, bomull
666ce96b	skotsel+faq	Golvfåtölj chenille fjärilsform	Chenille (100 % polyester), skum
6681ae28	skotsel+faq	Hängstol med nackstöd 120 kg	Metall, konstrotting, polyester, bomull
724cc4b5	skotsel+faq	Golvsoffa bäddas till 180 cm mörk	Linne, skum, metall
72f30eb9	skotsel+faq	Öronlappsfåtölj cremevit flanell	Flanell (100 % polyester), trä, skum
79daabe1	skotsel	Vikbar bäddmadrass 174 cm	Polyester och bomull, skum
7b98c4c1	skotsel+faq	Öronlappsfåtölj mörkgrå avtagbar	Polyester, trä, skum
80e4ed24	skotsel+faq	Öronlappsfåtölj brun avtagbar	Polyester, trä, skum
814b4e85	skotsel+faq	Hängstol för två 240 kg mugghållare	Stål, polyester, bomull
87717be0	skotsel+faq	Golvfåtölj 360° vridfot mörkgrå	Sammetsimitation (100 % polyester)
87f2551f	skotsel	Loungefåtölj sammetslook gummiträ	gummiträ, sammetslook
8f150623	skotsel+faq	Barnsoffa 77 cm rosa	Kortluggat tyg, skum, gummiträ
90529d40	skotsel+faq	Golvfåtölj 360° vridfot beige	Sammetsimitation (100 % polyester)
99b812a6	skotsel	Fåtölj skandinavisk gummiträram	gummiträ, tyg
9c71885a	skotsel+faq	Golvsoffa bäddas till 180 cm grå	Linne, skum, metall
a8d37d72	skotsel+faq	Golvsoffa bäddas till 180 cm himmelsblå	Linne, skum, metall
b24ce3da	skotsel+faq	Barnsoffa 77 cm grå	Kortluggat tyg, skum, gummiträ
c0e67ea5	skotsel+faq	Öronlappsfåtölj med fotpall linnelook	Vävt tyg i linnelook (100 % polyester)
c46bda54	skotsel	Trefaldig golvmadrass 203 cm	Linnelook i polyester, skum och metall
db34f7d5	skotsel+faq	Golvfåtölj 360° vridfot grön	Sammetsimitation (100 % polyester)
ebec4bc1	skotsel+faq	Hängstol konstrotting väderskydd	Stål, konstrotting, polyester
f8c671b3	skotsel	Vikbar bäddmadrass 174 cm	Polyester och bomull, skum
