e1c41327	e1c41327-…	2499	Manchesterfåtölj med fotpall, petrolblå	A1
58fb3025	58fb3025-…	2329	Manchesterfåtölj med fotpall, ljusgrå	A1
66adcdff	66adcdff-…	2319	Manchesterfåtölj med fotpall, gul	A1
4a9c33d2	4a9c33d2-…	2269	Manchesterfåtölj med fotpall, gråbeige	A1
791e7292	791e7292-…	2199	Manchesterfåtölj med fotpall, senapsgul	A1
bc220489	bc220489-…	2059	Manchesterfåtölj med fotpall, orange	A1
1e6872c7	1e6872c7-…	1399	Hopfällbar fåtölj i bok, tre lägen, gråblå	A2
45512a52	45512a52-…	1259	Hopfällbar fåtölj i bok, tre lägen, khaki	A2
84082d41	84082d41-…	1299	Vilstol i björk med fällbar fotdel, brun	A3
7e00970f	7e00970f-…	1259	Vilstol i björk med fällbar fotdel, grå	A3
