38022bcb	1599	16,8 kg	85 × 47 × 44 cm
68f7d530	1549	17,3 kg	50 × 32 × 52 cm
a65a39f1	1369	21 kg	63 × 25,5 × 52 cm
39ec9d58	1279	21,4 kg	62 × 47 × 33 cm
f8528666	1269	10,3 kg	61 × 43 × 43 cm
68bc6c0c	1259	17,5 kg	61 × 56,5 × 21 cm
fecadb3e	1199	15 kg	50,5 × 50,5 × 26 cm
ed8f0e56	1149	10,2 kg	58 × 38,5 × 32,5 cm
0908bbf0	1139	18 kg	50 × 57 × 25 cm
a73a1a1c	1119	11,2 kg	60 × 48,5 × 22 cm
c802ac19	1099	11 kg	64 × 41 × 36 cm
cc31a73b	1079	11 kg	64 × 41 × 36 cm
0801a975	1079	10 kg	47 × 42 × 37 cm
f4e6159e	1059	9,3 kg	42 × 38 × 58 cm
3addfbf8	999	8 kg	60 × 40 × 22 cm
cc5da788	999	6,8 kg	50 × 41 × 41 cm
55dc854b	999	12,6 kg	57 × 47 × 23 cm
e5b31270	979	13,7 kg	61 × 16 × 61 cm
ae1c848f	969	12,8 kg	67,5 × 45 × 32,5 cm
3a96740e	969	15 kg	52 × 23 × 67 cm
d82beee4	949	13,4 kg	50 × 21,5 × 50 cm
7f8e495b	939	8,1 kg	61 × 36,5 × 41 cm
70f4481a	899	12,8 kg	49,5 × 20,5 × 49,5 cm
75391d11	899	8,8 kg	58 × 29 × 28 cm
62f7cf98	899	8,6 kg	43,5 × 36 × 28 cm
ab6c0b93	879	7,2 kg	48 × 39 × 18 cm
819bf51c	879	7,9 kg	61 × 12 × 41 cm
82efeeaf	869	8,5 kg	56 × 14 × 58 cm
27b607dc	869	7 kg	87 × 23,5 × 25 cm
1467588a	859	8 kg	49 × 21 × 49 cm
f489937f	859	7 kg	48 × 23 × 52 cm
75293096	849	8,6 kg	43,5 × 36 × 28 cm
8db487c1	839	8,8 kg	58 × 29 × 28 cm
8ab169e8	839	8,6 kg	43,5 × 36 × 28 cm
105c685a	829	9,7 kg	49 × 16 × 45 cm
63a586da	829	10 kg	62 × 35 × 41 cm
4faf9f4c	829	9,4 kg	61 × 16,5 × 41 cm
5616c567	819	7 kg	48 × 23 × 52 cm
e2c8b0f3	799	4,85 kg	39,5 × 18 × 32,5 cm
6f0b43f0	799	8,8 kg	58 × 29 × 28 cm
