924a6f45	1	Grå kontorsstol med massage, stoppat nackstöd, tjocka armstöd och svart femarmad fot
924a6f45	2	Kvinna sitter tillbakalutad i stolen med benen på det utfällda fotstödet vid ett skrivbord
924a6f45	3	Måttritning med bredd 69 cm, sitsbredd 54 cm, höjd 112–120 cm och sitthöjd 51–59 cm
924a6f45	5	Stolen står upprätt vid ett ljust skrivbord med skärm och hyllor i bakgrunden
d48decb1	1	Kontorsstol i grått linnelooktyg med avtagbar nackkudde, stoppade armstöd och utdraget fotstöd
d48decb1	2	Stolen står tillbakalutad vid ett mörkt skrivbord framför en fönstervägg med växter
d48decb1	3	Måttritning med djup 76 cm, armstödshöjd 22 cm, höjd 112–120 cm och sitthöjd 47–55 cm
d48decb1	4	Närbild på det stoppade armstödet och den kabelanslutna fjärrkontrollen i sidan
d48decb1	5	Närbild på sitsens rutstickning och det utdragbara fotstödet under sitsen
31cbadae	1	Grå kontorsstol i mikrofiber med hög rygg, mjuka armstöd och kromad kryssfot
31cbadae	2	Stolen står vid ett vitt skrivbord med skärm framför en mörkblå vägg
31cbadae	3	Måttritning med bredd 62 cm, djup 67 cm, höjd 113–120 cm och fällt läge 143 cm
31cbadae	4	Närbild på det stoppade armstödet och mikrofibertygets mjuka yta
31cbadae	5	Närbild på ryggens stoppade sektioner och den fasta nackkudden
aef1b477	1	Ljusgrå kontorsstol med massage, stoppade armstöd, utfällt fotstöd och svart kryssfot
aef1b477	2	Stolen står tillbakalutad med fotstödet ute vid ett mörkt skrivbord
aef1b477	3	Måttritning med djup 74 cm, bredd 65 cm, armstödshöjd 21 cm och höjd 111–119 cm
aef1b477	4	Närbild på det stoppade armstödet med den kabelanslutna fjärrkontrollen i sidan
aef1b477	5	Närbild på ryggens sömmar och det ljusgrå mikrofibertyget
09ae62db	1	Svart kontorsstol i konstläder med rutstoppad rygg, nackkudde och utdraget fotstöd
09ae62db	2	Stolen står tillbakalutad vid ett skrivbord i ett ljust rum med hyllor
09ae62db	3	Måttritning med djup 79 cm, bredd 67 cm, höjd 111–121 cm och sitthöjd 46–56 cm
09ae62db	4	Stolen står upprätt vid ett skrivbord med surfplatta och växter i bakgrunden
09ae62db	5	Närbild på ryggens rutstoppning och den svarta konstlädersytan
3829477a	1	Svart kontorsstol i konstläder med tjocka armstöd, utdraget fotstöd och kromad kryssfot
3829477a	2	Stolen står tillbakalutad med fotstödet ute framför ett mörkt konferensbord
3829477a	3	Måttritning med bredd 67 cm, djup 72 cm, sitsbredd 54 cm och höjd 111–119 cm
3829477a	5	Stolen står tillbakalutad vid ett fönster med hyllor i bakgrunden
94979299	1	Mörkgrå kontorsstol i mikrofiber med hög rygg, tjock stoppning och utdraget fotstöd
94979299	2	Stolen står tillbakalutad på ett marmorgolv framför ett mörkt skrivbord
94979299	3	Måttritning med djup 74 cm, bredd 66 cm, höjd 114–121,5 cm och sitthöjd 56–64 cm
94979299	5	Stolen står vid ett skrivbord med skärm i ett ljust rum med palmväxt
820d5370	1	Mörkbrun kontorsstol i konstläder med ljus kontrastsöm och svart kryssfot
820d5370	2	Stolen står vid ett vitt skrivbord med skärm och krukväxt
820d5370	3	Måttritning med bredd 64 cm, höjd 112–120 cm, sitsbredd 53,5 cm och sitthöjd 48–56 cm
820d5370	4	En hand trycker ner i sitsen och visar den dubbla stoppningen
820d5370	5	Närbild på armstödets mörkbruna konstläder och den ljusa kontrastsömmen
