db13253d	1	Svart kontorsstol i nättyg med nackstöd, 3D-armstöd och utdragbart fotstöd
db13253d	2	Stolen står vid ett höj- och sänkbart skrivbord i ett rum med bokhylla
db13253d	3	Måttritning med bredd 66 cm, höjd 114–122 cm, sitthöjd 49–57 cm och armstöd 19–26 cm
3cdf4bf3	1	Beige kontorsstol i konstläder med utdragbart fotstöd och kromad femarmad fot
3cdf4bf3	2	Stolen står vid ett ljust skrivbord med bärbar dator och bokhylla bakom
3cdf4bf3	3	Måttritning med djup 73 cm, höjd 112–120 cm, sits 54 cm och maxlast 120 kg
3cdf4bf3	5	Kvinna sitter tillbakalutad i den beige stolen framför en bokhylla
09167ea9	1	Vit kontorsstol i konstläder med hög stoppad rygg och utdragbart fotstöd
09167ea9	2	Stolen står på en rund matta framför en tv-bänk i ett vardagsrum
09167ea9	3	Måttritning med höjd 122–130 cm, sitthöjd 55–63 cm, djup 72 cm och bredd 66 cm
09167ea9	4	Närbild på den vita ryggens stoppning och sömmar
09167ea9	5	Närbild på armstödet och fällmekanismen under sitsen
f530ef48	1	Grå kontorsstol i tyg med hög rygg, stoppade armstöd och kromad femarmad fot
f530ef48	2	Stolen står vid ett mörkt skrivbord med skärm och krukväxt
f530ef48	3	Måttritning med djup 78 cm, höjd 110–118 cm, sitthöjd 48–56 cm och armstöd 20 cm
f530ef48	4	Närbild på ryggens överkant mot en mörk vägg
f530ef48	5	Närbild på det grå tygets väv i sits och rygg
8017140b	1	Rosa kontorsstol i konstläder med utdragbart fotstöd och vit femarmad fot
8017140b	2	Stolen står vid ett vitt skrivbord med hylla och blomvas
8017140b	3	Måttritning med djup 68 cm, bredd 65 cm, höjd 107–116 cm och sitthöjd 47–55 cm
8017140b	4	Närbild på det rosa armstödet och fästet mot sitsen
8017140b	5	Närbild på det utdragna fotstödet i rosa konstläder
dd90cdd8	1	Grå kontorsstol med avtagbar nackkudde, uppfällbara armstöd och vit fot
dd90cdd8	2	Stolen står vid ett skrivbord med skärm och utdraget fotstöd
dd90cdd8	3	Måttritning med djup 68 cm, bredd 62 cm, höjd 117–127 cm och sitthöjd 41–51 cm
dd90cdd8	4	Närbild på den avtagbara nackkudden mot ryggstödets överkant
dd90cdd8	5	Närbild på sitsens stoppning och den vita foten
1bc3adc4	1	Svart kontorsstol i linnelook med hög rygg och kromad femarmad fot
1bc3adc4	2	Stolen står vid ett skrivbord med tv-bänk och gardiner bakom
1bc3adc4	3	Måttritning med bredd 62 cm, höjd 110–119 cm, sitthöjd 46–55 cm och rygg 69 cm
1bc3adc4	4	Stolen står vid ett skrivbord med skärm i ett rum med utsikt
1bc3adc4	5	Närbild på armstödet och det svarta tygets väv
da5668cb	1	Svart kontorsstol i retrodesign med rutmönstrad stoppning och kromade armstöd
da5668cb	2	Stolen står vid ett skrivbord framför en tv-bänk med gardiner
da5668cb	3	Måttritning med djup 54 cm, bredd 52,5 cm, höjd 84–99 cm och sitthöjd 46–61 cm
da5668cb	4	Närbild på det kromade armstödsröret mot den svarta sitsen
da5668cb	5	Närbild på ryggens rutmönstrade sömmar och kromdetaljen
