19f7c013	vit	MJUKA BYGGKLOSSAR	5 delar, flerfärgad	måtten i klartext · 12–36 månader	Mått=40,6 × 40,6 × 20,3&nbsp;<span class=u>cm</span>|Färg=flerfärgad|Material=konstläder, EPE-skum|Vikt=5&nbsp;<span class=u>kg</span>
2177e112	vit	RUNT MATBORD	4 personer, svart	måtten i klartext · industristil	Mått=Ø100 × 75&nbsp;<span class=u>cm</span>|Färg=svart|Maxbelastning=40&nbsp;<span class=u>kg</span>|Vikt=14&nbsp;<span class=u>kg</span>
40304dee	vit	GOLVFÅTÖLJ, VRIDBAR	Fem ryggvinklar, mörkgrå	måtten i klartext · vrids 360°	Mått=62 × 70 × 95&nbsp;<span class=u>cm</span>|Färg=mörkgrå|Maxbelastning=120&nbsp;<span class=u>kg</span>|Vikt=11&nbsp;<span class=u>kg</span>
4125dd90	vit	ESPRESSOMASKIN 20 BAR	Creme/silver, mjölkskummare	måtten i klartext · 1350 W	Mått=32 × 17 × 31&nbsp;<span class=u>cm</span>|Färg=creme/silver|Effekt=1350&nbsp;<span class=u>W</span>|Vikt=4,5&nbsp;<span class=u>kg</span>
78f897e9	vit	HOPFÄLLBAR HUNDGRIND	Fem paneler, svart	måtten i klartext · fristående	Mått=261,5 × 29,5 × 61&nbsp;<span class=u>cm</span>|Färg=svart|Max mankhöjd=41&nbsp;<span class=u>cm</span>|Vikt=8,5&nbsp;<span class=u>kg</span>
a1294bc8	vit	ESPRESSOMASKIN 20 BAR	Svart, mjölkskummare	måtten i klartext · 850 W	Mått=29 × 22 × 28&nbsp;<span class=u>cm</span>|Färg=svart|Effekt=850&nbsp;<span class=u>W</span>|Vikt=4,1&nbsp;<span class=u>kg</span>
bee36f80	vit	VERTIKALMARKIS	Balkong, grå	måtten i klartext · med vev	Mått=200 × 120&nbsp;<span class=u>cm</span>|Färg=grå|Material=aluminium, polyester|Vikt=3,5&nbsp;<span class=u>kg</span>
d9658fc2	vit	BISTROSET, 3 DELAR	Hopfällbart, mörkgrå	måtten i klartext · väderbeständigt	Mått=61 × 65 × 91&nbsp;<span class=u>cm</span>|Färg=mörkgrå|Material=stål, nätstoff|Vikt=13,2&nbsp;<span class=u>kg</span>
ed69489c	vit	BADRUMSSKÅP	Spegeldörrar, bambu	måtten i klartext · natur	Mått=65,2 × 14 × 50&nbsp;<span class=u>cm</span>|Färg=natur|Maxbelastning=10&nbsp;<span class=u>kg</span>|Vikt=10&nbsp;<span class=u>kg</span>
ee610afd	vit	VILSTOL I BJÖRK	Fotstöd, fem lägen, cremevit	måtten i klartext · böjträ	Mått=66,5 × 94 × 100&nbsp;<span class=u>cm</span>|Färg=cremevit|Maxbelastning=120&nbsp;<span class=u>kg</span>|Vikt=10,3&nbsp;<span class=u>kg</span>
