19f7c013	Faktakort: 40,6 × 40,6 × 20,3 cm, konstläder och EPE-skum, 5 kg
2177e112	Faktakort: Ø100 × 75 cm, svart, maxbelastning 40 kg
40304dee	Faktakort: 62 × 70 × 95 cm, mörkgrå, maxbelastning 120 kg
4125dd90	Faktakort: 32 × 17 × 31 cm, creme/silver, 1350 W
78f897e9	Faktakort: 261,5 × 29,5 × 61 cm, svart, max mankhöjd 41 cm
a1294bc8	Faktakort: 29 × 22 × 28 cm, svart, 850 W
bee36f80	Faktakort: 200 × 120 cm, grå, aluminium och polyester
d9658fc2	Faktakort: 61 × 65 × 91 cm, mörkgrå, stål och nätstoff
ed69489c	Faktakort: 65,2 × 14 × 50 cm, natur, maxbelastning 10 kg
ee610afd	Faktakort: 66,5 × 94 × 100 cm, cremevit, maxbelastning 120 kg
