115d3831	Springcykel i trä för barn 3–5 år – justerbar sadel och tysta EVA-hjul
5eb079d2	Rund förvaringspall i beige tyg med juteyta – 19 l och lock som blir bord
0dff6d43	Pokerset med 500 marker i aluminiumväska – kortlekar, tärningar och dealerknapp
12c11f43	Pall i fransk lantstil – stoppad sits i beige tyg och ram i gummiträ
4c8d9de4	Smal konstgjord julgran 183 cm med konstsnö – 479 grenspetsar och stålfot
63a725ab	Golvlampa i guld med tygskärm – fjärrkontroll, 11 ljuslägen och fotbrytare
7720d168	Lekkök för barn 3–6 år med 92 delar – ljud, ljus, ångeffekt och vattenkran
8382289b	Hopfällbart blomställ med sex runda hyllor – svart metall, 80 cm
875ca38b	Vinhylla för väggen – åtta flaskor i svart stålrör, 93,5 cm
96451d83	Rutschkana för småbarn formad som en giraff – basketkorg och boll, 1–3 år
b69e5b38	Blomställ i trappform med tre plan – svart metall med gallerhyllor, 75 cm
cc7ab001	Agilityset för hund i tre delar – hinder, slalom och ring med väska
ce59dcf5	Bambuhylla med fyra plan – för badrum, kök eller vardagsrum, 112 cm
f0817bea	Julby i trä med 20 LED – vinterlandskap med hus, barn och lyktor, 45 cm
e0d0d880	Pedalhink 20 l i gräddvitt – mjukstängande lock som kan stå öppet
