# Semrush, databas se, 2026-09-24. sökord, sökningar/mån, svårighet (0–100), avsikt
skohylla	18100	27	1
bokhylla	18100	27	1,0
piedestal	9900	21	1
skoställ	8100	28	1
soptunna	8100	30	1,3
barbord	6600	20	0
matta vardagsrum	5400	15	1
helkroppsspegel	4400	19	0
pedalhink	3600	20	1
sittpuff med förvaring	2900	17	1
väggspegel	2400	18	0
halloween dekoration	2400	18	1
halloweendekoration	2400	18	1
asymmetrisk spegel	1900	18	1
golvspegel	1900	18	3
ståbord	1900	11	1
vardagsrumsmatta	1900	24	1,3
låg bokhylla	1900	20	1
pall med förvaring	1600	18	0
oval spegel	1600	13	3
boxboll	1600	28	2
puff med förvaring	1300	18	1
grå matta	1300	11	1,3
halloween clown	1300	20	1
soptunna med lock	1300	25	1
höj och sänkbart bord	1000	22	1
spegel guldram	880	18	1,0
mönstrad matta	880	12	1,0
bokhylla ek	880	16	1
blompall	720	18	1
guldspegel	720	11	1,3
matta 160x230	720	23	3
matta 160 x 230	720	23	3
smal skohylla	590	22	1,3
förvaringspall	590	18	1
stående spegel	590	17	1,3
växtställ	480	14	1,3
speedball	480	23	1
spegel guld	480	13	1,3
cafébord	480	16	1
halloween dekoration utomhus	480	12	1
sophink	480	18	1
boxningsboll	320	11	1
blomställ	260	13	1,0
förvaringspuff	210	17	1
runt barbord	210	15	1,0
halloween häxa	210	13	1
kubhylla	170	17	1
hylla med fack	140	18	1
soptunna med pedal	110	13	1
barbord höj och sänkbart	110	18	1
pedalhink svart	110	13	1
halloween docka	110	13	1,3
blompelare	90	13	1
golvspegel svart	90	13	1
sophink kök	90	13	1
väggspegel guld	70	10	1,3
reflexboll	50	13	1,0
hopfällbar skohylla	30	8	1,3
pedalhink 30 liter	30	12	0
soptunna med sensor	30	0	
skräckclown	30	0	
soptunna sensor	30	0	
skohylla bambu	20	0	
spegel set	20	0	
boxning träning hemma	20	0	
barockspegel	20	0	
automatisk soptunna	20	0	
häxa dekoration	20	0	
blompall metall	10	0	
soptunna svart	10	0	
soptunna kök	0	0	
