1f0598ee	lager	OUT_OF_STOCK — konstgjord palm 1 019 kr
601ae5f5	sasong	växthus, trädgård/ute i mitten av september
727e95ba	sasong	insynsskydd för staket, trädgård/ute
85aa4691	krock-publicerad	5 av 5 tripplar mot publicerade 0783b515 hundvagn (N6, samma dag)
6fb7b740	krock-publicerad	2 av 3 tripplar mot publicerade 9383d686 hallbänk 102 cm
1f0fed54	ogranskad	bara EN måtttrippel — grinden kan aldrig fälla (#274)
207753f5	ogranskad	bara EN måtttrippel — grinden kan aldrig fälla (#274)
6e8783a3	ogranskad	bara EN måtttrippel — grinden kan aldrig fälla (#274)
40a1f491	utkastdubblett	4 av 4 tripplar + identiskt namn mot f5964946, som är 10 kr billigare
618b1de9	reserv	ren, men 2 av 3 tripplar mot utkastet 294cfb55 — nästa runda
46f280f7	reserv	ren, mindre gap (40 kr)
967d53e2	reserv	ren, mindre gap (30 kr)
9ab9eda7	reserv	ren, mindre gap (100 kr)
f5964946	bilder	TRE av fem bilder tyska (pos 3,4,5) — flyttad, inte forkastad; behover egna kort
