e1a46c56	Kontorsstol med utdragbart fotstöd, 140° | Fyndplats	Kontorsstol med utdragbart fotstöd och ryggen fällbar 140 grader. Klösbeständigt konstläder, sits 46–54 cm, 120 kg.
872d06b2	Fällbart skrivbord 80 cm på hjul | Fyndplats	Fällbart skrivbord 80 cm på fyra låsbara hjul. Hopfällt 9,5 cm tjockt, skåra för surfplattan och 63 kg maxlast.
cb403b5c	Fällbart skrivbord 70 cm med skärmhylla | Fyndplats	Fällbart skrivbord 70 cm med hylla för skärmen 12,5 cm ovanför skivan. Hopfällt 3,5 cm tjockt, X-stomme i stål.
66c9f2b5	Hurts på hjul med tre låsbara lådor | Fyndplats	Hurts på fem hjul med tre låsbara lådor och skena för A4-hängmappar. 39 × 48 × 60 cm, 15 kg per låda.
c57e6f12	Tvättsorterare på hjul med fyra säckar, 108 L | Fyndplats	Tvättsorterare på hjul med fyra säckar på 27 liter, 108 liter totalt. Två låsbara hjul, 86 cm bred och 82 hög.
711cad58	Kaninbur 92 cm med rastgård och asfalttak | Fyndplats	Kaninbur 92 cm med stängt sovhus, öppen rastgård och asfalttak. Nätgolv över djup utdragsbricka. Fyra hjul. Sovhuset är 54 cm högt.
fee40f78	Smådjursbur 150 cm med fem plan och hängmatta | Fyndplats	Smådjursbur 150 cm med fem plan, hängmatta och utdragbart kar. Gallerdelning 1,2 cm — rätt för iller, råtta och chinchilla, för glest för dvärghamster.
b3e20f91	Hönsgård 280 cm med gånghöjd och fyra värpreden | Fyndplats	Hönsgård i granträ och metallnät, 280 × 185,5 × 188 cm med 5,2 m² rastyta, tak, fyra värpreden och ramp. Du går in själv genom framdörren.
14a20f23	Kaninbur 90 cm på hjul med ramp, grå | Fyndplats	Kaninbur i granträ, 90 cm, två plan med ramp och utdragbart bottentråg. Fyra hjul varav två med broms. Mörkgrå och vit.
80fbb644	Kaninbur 90 cm på hjul med ramp, gul | Fyndplats	Kaninbur i granträ, 90 cm, två plan med ramp och utdragbart bottentråg. Fyra hjul varav två med broms. Gul och vit.
faa61f7f	Kaninhus 144 cm i två plan med bitumentak | Fyndplats	Kaninhus 144 cm i två plan med bitumentak, galvaniserat nät och ramp. Utdragslåda i botten. 66–68 cm invändig höjd. För utomhusbruk.
4540695f	Kattlåda med lock och utdragbar låda, 48 cm | Fyndplats	Täckt kattlåda 48 × 35 × 36 cm med utgång i taket och utdragbar strölåda. Skopa och fyra filterpåsar ingår. För en katt upp till 4 kg.
1abd6c48	Kattlåda i rostfritt 60 cm, öppen med hög kant | Fyndplats	Öppen kattlåda med kar i rostfritt stål, 60,2 × 40,2 cm och hög kant. Skopa och strömatta ingår. För katter upp till 7 kg.
adb8c31b	Kattlåda i rostfritt 52 cm, täckt med topputgång | Fyndplats	Täckt kattlåda med kar i rostfritt stål, 52,4 × 41,3 cm. Ingång framtill, utgång i taket, sandzon och fack för luktpåse.
ed63cbaa	Katthängmatta för fönsterbräda och element | Fyndplats	Katthängmatta på konsol för fönsterbrädor 4–12 cm eller element. Fururam som bär 6 kg, maskintvättbar kudde, tio minuters montering.
bf519490	Kattbo i filt med sisalplatta, Ø40 cm | Fyndplats	Runt kattbo i hård filt, 40 cm i diameter, med grotta inuti och vadderad liggyta på locket. Sisalplatta 12 × 21 cm på sidan.
e44f5882	Klösmöbel som zebra med tunnel, 93 cm | Fyndplats	Klösmöbel 93 cm hög med tunnel att ligga i och juterepslindade pelare. Sockel 48,5 × 35 cm, för katter under 5 kg.
dd7052d3	Vattenfontän för katt, 2,5 liter i rostfritt | Fyndplats	Vattenfontän för katt i 304-rostfritt, 2,5 liter och under 35 dB. Räcker en katt i fem dagar, med LED-fönster för vattennivån.
e1f10ce1	Vattenfontän för katt 3,2 liter, dubbelt filter | Fyndplats	Vattenfontän för katt i 304-rostfritt, 3,2 liter med dubbelt filtersystem. Räcker ungefär en vecka och går under 35 dB.
288381a0	Hundgrind 180 cm i metall med gånggrind | Fyndplats	Hundgrind 180 cm i pulverlackerad metall med inbyggd gånggrind som stänger sig själv. 74,5 cm hög, formbar till L eller U, fristående eller väggfäst.
c8d03827	Hundkoja 121 cm med takterrass och trappa | Fyndplats	Hundkoja i granträ, 121 cm, med takterrass, räcke och trappa. Fönster och dörr ger genomdrag. För hundar upp till 20 kg. Gul och svart.
00d42706	Hundkoja 103 cm med veranda och två matskålar | Fyndplats	Hundkoja i granträ, 103 cm, med inhägnad veranda, två infällda matskålar och asfalttak. Upphöjt golv med justerbara fötter. Upp till 10 kg.
