adress	status	omdirigeras_till	sokvolym_summa	basta_plats	antal_sokord
/basta-i-test/massagepistoler	308	/kopguider/massagepistoler	2990	18	3
/produkt/sladdlos-handdammsugare-bil	308	/produkt/sladdlos-handdammsugare-30000pa-borstlos-bil	2170	18	3
/product-page/baby-toys-silicone-teether-food-grade-rattle-toys-baby-0-12-months-sensory-toys	308	/produkt/baby-toys-silicone-teether-food-grade-rattle-toys-baby-0-12-months-sensory-toys	1110	22	2
/kategori/datormus	404		590	56	1
/kategori/halsband	404		480	57	1
/produkt/hopfallbart-symaskinsbord-hjul	308	/produkt/symaskinsbord-hopfallbart-med-hjul-160-cm	480	43	1
/produkt/4-pack-glas-ribbad-design	308	/alla-produkter	480	28	1
/mobiltillbehor	404		480	55	1
/produkt/robust-paraply-med-uv-skydd	308	/kategori/solskydd-paviljonger	390	12	1
/produkt/skrivbord-120-cm	308	/produkt/skrivbord-ek-120cm-datorbord	260	22	1
/konstgjordablommor	308	/kategori/dekoration-prydnad	260	55	1
/kategori/traning-gym	200		13220	37	5
/produkt/uppblasbart-talt	200		7520	28	3
/produkt/hopfallbar-stegpall	200		6030	15	6
/produkt/trumset-for-barn	200		3940	17	4
/produkt/barnrutschkana-5-i-1-inomhus-smabarn	200		3800	33	2
/produkt/hopfallbart-gaband-lopband-1-6kmh	200		3780	25	5
/blogg/hobby-for-vuxna	200		3130	10	4
/produkt/rund-bordsduk	200		3060	40	5
/kategori/massage-aterhamtning	200		2630	28	4
/blogg/packlista-helgresa	200		2600	17	2
/produkt/kattlada-med-tak	200		2400	30	1
/produkt/spalje-klattervaxter	200		2270	23	5
/produkt/stodben-husvagn-husbil-4-pack	200		2090	24	4
/produkt/konstgjort-olivtrad-120-cm-konstvaxt	200		2060	38	3
/produkt/marsvinsbur-inomhus-tra-90x53x59	200		2020	27	2
/under-1000-kr/leksaker-spel	200		2000	59	2
/produkt/miniugn-32-liter	200		1670	16	4
/produkt/radiostyrd-gravmaskin-1-20	200		1560	24	2
/produkt/barncykel-20-tum-mountainbike-7-vaxlad	200		1560	18	5
/produkt/konstgjort-olivtrad	200		1470	30	2
/produkt/volleybollnat-set	200		1440	24	2
/kategori/laddare-kablar	200		1440	78	2
/produkt/vaggmonterat-skotbord	200		1400	17	3
/produkt/barncykel-stodhjul-2-i-1	200		1390	24	2
/produkt/runt-tradgardsbord-mosaik	200		1390	25	4
/	200		1300	56	1
/produkt/hundgaller-bil-justerbart-lastgaller	200		1180	27	2
/produkt/stegpall-barn-2-steg-badrum-kok	200		1140	8	2
/produkt/aktivitetstavla-barn-montessori	200		1120	18	3
/produkt/naturehike-uppblasbart-liggunderlag-8-cm	200		1100	43	3
/produkt/slangvinda-tryckluft-20m-automatisk	200		1000	34	1
/produkt/depastod-mc-hjulstod	200		980	35	2
/kategori/solskydd-paviljonger	200		930	53	2
/produkt/arbetspall-med-hjul	200		910	27	2
/produkt/barncykel-16-tum	200		890	20	4
/produkt/kopplingsdosa-utomhus-ip67-vattentat-abs-kapsling	200		880	26	1
/produkt/hogskap-badrum-smalt	200		880	24	1
/blogg/husdjursguide-hund-och-katt	200		880	21	1
/produkt/reparationsstall-cykel-west-biking-mekstall	200		880	24	1
/produkt/ipl-harborttagning	200		880	32	1
/produkt/hamsterbur-med-tunnel-tillbehor	200		800	19	2
/produkt/takkorg-bil-lastkorg-vaska	200		800	6	2
/produkt/fagelmatare-med-kamera	200		800	21	2
/produkt/elementskydd-med-hylla	200		720	41	1
/produkt/rittavla-barn-dubbelsidig-staffli	200		720	16	1
/produkt/hjuldolly-680-kg-fotpedal-sparrhake	200		720	43	1
/produkt/hundramp-bil-155-cm	200		650	21	2
/produkt/takracke-bil-rails-lasthallare-aluminium	200		640	27	2
/kategori/grill-utekok	200		590	78	1
/produkt/eldstadsverktyg-5-delar-stall	200		590	25	1
/produkt/rektangulart-parasoll-200x150	200		580	19	2
/produkt/garagedomkraft-2-5-ton-lag-profil	200		580	40	2
/produkt/slangupprullare-tryckluft-10m-automatisk	200		480	38	1
/blogg/presenter-till-hundalskaren	200		480	41	1
