runda	slug	sökord	volym	svårighet	position	sidan som rankar	url
S4/S5	elbilar-for-barn	elbil barn	8100	14	ej topp 100		
S4/S5	garagetalt	garagetält	5400	14	ej topp 100		
S4/S5	gunghastar-gungdjur	gunghäst	2400	18	ej topp 100		
S4/S5	hundbaddar-hundsoffor	hundbädd	9900	16	ej topp 100		
S4/S5	hundburar	hundbur	5400	21	ej topp 100		
S4/S5	hundkojor	hundkoja	2400	10	ej topp 100		
S4/S5	katthus	katthus	1900	13	ej topp 100		
S4/S5	kattlador	kattlåda	8100	23	ej topp 100		
S4/S5	klostrad	klösträd	5400	27	ej topp 100		
S4/S5	leksakskok	leksakskök	5400	17	ej topp 100		
S4/S5	redskapsbodar-forrad	redskapsbod	4400	18	ej topp 100		
S4/S5	sandlador	sandlåda	5400	24	ej topp 100		
S4/S5	sparkcyklar-for-barn	sparkcykel barn	6600	25	ej topp 100		
S6	eldkorgar-eldstader	eldkorg	3600	23	ej topp 100		
S6	grill-utekok	plancha	320	11	ej topp 100		
S6	halloweendekoration	halloweendekoration	2400	18	ej topp 100		
S6	juldekoration	juldekoration utomhus	1300	18	ej topp 100		
S6	konstvaxter	konstgjorda växter	3600	23	ej topp 100		
S6	solskydd-paviljonger	paviljongtak	480	15	ej topp 100		
S6	terrassvarmare-infravarmare	terrassvärmare	3600	28	ej topp 100		
S6	tradgardsdekor-belysning	solcellslampor	8100	20	ej topp 100		
S6	tradgardsskotsel-bevattning	kompostkvarn	5400	20	ej topp 100		
S6	utelek-spel	studsmatta	27100	35	ej topp 100		
S6	utelek-spel	basketkorg	5400	14	ej topp 100		
S6	utemobler	loungeset	8100	18	ej topp 100		
S6	vaxthus-odling	tunnelväxthus	2900	13	ej topp 100		
S7	baddfatoljer	bäddfåtölj	12100	25	ej topp 100		
S7	badrumsskap	badrumsskåp	27100	20	ej topp 100		
S7	boxningssackar	boxningssäck	5400	18	ej topp 100		
S7	elkaminer	elkamin	2400	18	ej topp 100		
S7	golvlampor	golvlampa	33100	23	ej topp 100		
S7	koksoar-koksvagnar	köksö	14800	23	ej topp 100		
S7	massagestolar	massagestol	4400	14	ej topp 100		
S7	skoskap-skobankar	skoskåp	18100	25	ej topp 100		
S7	tv-bankar	tv bänk	49500	28	ej topp 100		
S7	varmeflaktar	värmefläkt	9900	21	ej topp 100		
S7	verktygsvagnar-verktygslador	verktygsvagn	9900	16	ej topp 100		
S8	hamsterburar-gnagarburar	hamsterbur	2400	13	ej topp 100		
S8	honshus-honsgardar	hönshus	3600	18	ej topp 100		
S8	hundvagnar	hundvagn	1900	14	ej topp 100		
S8	kaninburar-marsvinsburar	kaninbur	4400	19	ej topp 100		
S8	terrarier	terrarium	3600	17	ej topp 100		
S8	vedstall-vedbodar	vedställ	3600	25	ej topp 100		
S9	hantlar-hantelset	hantlar	12100	20	58	annan kategori	/kategori/traning-gym
S9	motionscyklar	motionscykel	9900	22	ej topp 100		
S9	traning-gym	hemmagym	3600	14	ej topp 100		
S9	traningsbankar	träningsbänk	5400	18	ej topp 100		
S10	badrumsspeglar	badrumsspegel	5400	23	ej topp 100		
S10	bokhyllor	bokhylla	18100	27	ej topp 100		
S10	byraer	byrå	33100	29	ej topp 100		
S10	nattduksbord	nattduksbord	18100	29	ej topp 100		
S10	sidobord	sidobord	18100	18	ej topp 100		
S10	sidobord	avlastningsbord	14800	18	ej topp 100		
S10	speglar	spegel	33100	18	ej topp 100		
S10	tvattkorgar	tvättkorg	27100	24	ej topp 100		
S10	vattenkokare-brodrostar	vattenkokare	22200	28	ej topp 100		
S10	vattenkokare-brodrostar	brödrost	18100	22	ej topp 100		
S11	barnmobler	barnfåtölj	4400	28	ej topp 100		
S11	barnmobler	barngarderob	2900	18	ej topp 100		
S11	barnmobler	sminkbord barn	1600	17	ej topp 100		
