# Semrush resource_organic, databas se, 2026-09-24, www.fyndplats.se/produkt/, position 11–30, sorterat på volym
# sökord	position	sökningar/mån	svårighet	avsikt	slug
uppblåsbart tält	28	3600	13	1	uppblasbart-talt
kattlåda med tak	30	2400	23	1	kattlada-med-tak
trumset barn	17	1300	17	1	trumset-for-barn
radiostyrd grävmaskin	24	1300	14	1	radiostyrd-gravmaskin-1-20
marsvinsbur	27	1300	15	1	marsvinsbur-inomhus-tra-90x53x59
pall till barn	16	880	19	1	stegpall-barn-2-steg-badrum-kok
badrumsskåp smalt	24	880	13	0,1	hogskap-badrum-smalt
mekställ cykel	24	880	11	1	reparationsstall-cykel-west-biking-mekstall
löpband hopfällbart	25	880	18	1	hopfallbart-gaband-lopband-1-6kmh
kopplingsdosa utomhus	26	880	20	1	kopplingsdosa-utomhus-ip67-vattentat-abs-kapsling
löpband hopfällbar	28	880	15	1	hopfallbart-gaband-lopband-1-6kmh
hopfällbart löpband	28	880	18	1	hopfallbart-gaband-lopband-1-6kmh
staffli barn	16	720	18	1	rittavla-barn-dubbelsidig-staffli
volleybollnät med stolpar	24	720	9	1,3	volleybollnat-set
stödben till husbil	28	720	11	1	stodben-husvagn-husbil-4-pack
marsvins bur	30	720	13	1	marsvinsbur-inomhus-tra-90x53x59
hamsterbur stor	20	590	19	1,3	hamsterbur-med-tunnel-tillbehor
takkorg	21	590	9	1	takkorg-bil-lastkorg-vaska
stödben husbil	24	590	11	1	stodben-husvagn-husbil-4-pack
eldgaffel	25	590	17	1	eldstadsverktyg-5-delar-stall
arbetspall	27	590	12	1	arbetspall-med-hjul
hundgaller bil	27	590	18	1,3	hundgaller-bil-justerbart-lastgaller
hundgaller	29	590	22	0	hundgaller-bil-justerbart-lastgaller
konstgjort olivträd	30	590	10	1	konstgjort-olivtrad
elektrisk domkraft	15	480	18	1	elektrisk-domkraft-12v-bil-5-ton
busy board	18	480	18	1	aktivitetstavla-barn-montessori
dieselvärmare 12v	21	480	13	1	dieselvarmare-12v-8kw
flyttfilt	21	480	18	1,3	flyttfiltar-mobler-6-12-pack
fågelmatare kamera	24	480	21	1	fagelmatare-med-kamera
spalje metall	24	480	15	1,3	spalje-klattervaxter
ribbat glas	28	480	10	1	4-pack-glas-ribbad-design
solpanel 12v	30	480	20	1	solpanel-12v-monokristallin
uv paraply	12	390	19	1	robust-paraply-med-uv-skydd
